CNP;firstName;lastName;email;isAdmin;userType;group
1097166849546;Lillian;Irene;ipsum@euodio.edu;false;Student;LFIE001
1036666757693;Indigo;Omar;est.arcu.ac@estmaurisrhoncus.net;false;Student;LFIE001
1038979852882;Ori;Penelope;neque@Curabitur.co.uk;false;Student;LFIE001
1030314337871;Dara;Ivor;Ut.sagittis@etmalesuadafames.ca;false;Student;LFIE001
1080055475738;Phelan;Laith;semper.tellus.id@magnaSuspendissetristique.edu;false;Student;LFIE001
1013063957968;Darius;Gage;magnis@magnaatortor.com;false;Student;LFIE001
1068260113407;Rajah;Allegra;dui.semper@sagittisaugueeu.co.uk;false;Student;LFIE001
1080850610512;Avram;Christopher;Fusce.aliquam@dignissim.org;false;Student;LFIE001
1093454045879;Leo;Gage;In.mi.pede@ridiculus.co.uk;false;Student;LFIE001
1084953824086;Candice;Mara;nulla@accumsan.ca;false;Student;LFIE001
1047617207376;Debra;Matthew;tempor.arcu@adipiscinglacusUt.com;false;Student;LFIE002
1024935543299;Hyatt;Merrill;tincidunt.congue.turpis@justo.edu;false;Student;LFIE002
1096436415336;Mariko;Blair;dolor.Nulla@dolordolor.com;false;Student;LFIE002
1098991100580;Tana;Ross;erat@NulladignissimMaecenas.ca;false;Student;LFIE002
1091661063280;Grant;Rashad;diam@sodales.co.uk;false;Student;LFIE002
1063897548418;Hunter;Lani;arcu.eu.odio@Integer.ca;false;Student;LFIE002
1059163404765;Dai;Ciara;odio.Etiam@habitantmorbitristique.com;false;Student;LFIE002
1007704839383;Shad;Clarke;fermentum.metus@eget.co.uk;false;Student;LFIE002
1006947402458;Caleb;Griffith;tincidunt.aliquam.arcu@urnasuscipit.edu;false;Student;LFIE002
1056494322030;Quynn;Jin;Etiam.ligula.tortor@augue.co.uk;false;Student;LFIE002
1031241125680;Ali;Isabella;et@Phasellusdolor.co.uk;false;Student;LFMNM001
1013717642256;Ali;Serina;lectus.rutrum.urna@Duis.ca;false;Student;LFMNM001
1019035114823;Angelica;Rebecca;Nam.porttitor@ligulaeu.co.uk;false;Student;LFMNM001
1077156279830;Kieran;Petra;orci.Donec.nibh@Integerinmagna.co.uk;false;Student;LFMNM001
1056718959508;Sacha;Brennan;ut@torquent.edu;false;Student;LFMNM001
1068562823093;Perry;Honorato;imperdiet.non@viverraDonec.ca;false;Student;LFMNM001
1080045823130;Evan;Elliott;laoreet.lectus@lacus.net;false;Student;LFMNM001
1022407336474;Holly;Jermaine;orci.Ut.semper@Quisque.edu;false;Student;LFMNM001
1067358430485;Ria;Kellie;leo@ipsumnon.org;false;Student;LFMNM001
1000751383884;Sharon;Jasper;Sed.neque@eu.org;false;Student;LFMNM001
1006859228482;Ishmael;Nash;condimentum.Donec.at@vulputateullamcorper.edu;false;Student;LFMNM002
1096661861697;Quinn;Ima;eu.dolor@Nunc.ca;false;Student;LFMNM002
1079835948045;Fulton;Courtney;ut@eget.ca;false;Student;LFMNM002
1004639146895;Amela;Sean;enim.Curabitur@ipsumprimisin.co.uk;false;Student;LFMNM002
1077815758072;Ferris;Lance;Integer@purusac.ca;false;Student;LFMNM002
1044828020378;Haviva;Hamilton;a.nunc.In@et.ca;false;Student;LFMNM002
1027063763409;Neville;Coby;id@CurabiturmassaVestibulum.co.uk;false;Student;LFMNM002
1078144918796;Declan;Moses;dignissim.Maecenas.ornare@utnisi.ca;false;Student;LFMNM002
1077659675317;Shelley;Uta;mi.pede@pretium.org;false;Student;LFMNM002
1014802284043;Dakota;Inez;gravida.Aliquam.tincidunt@porttitor.com;false;Student;LFMNM002
1012070766860;Eaton;Priscilla;augue.eu@ullamcorpereu.net;false;Student;LFMK001
1037936092248;Iris;Clark;Sed.diam.lorem@Morbinequetellus.com;false;Student;LFMK001
1040906608006;Holmes;Amaya;Cras.eget@interdum.edu;false;Student;LFMK001
1051164842787;Karyn;Charles;aliquet@nullamagnamalesuada.edu;false;Student;LFMK001
1040394540411;Gail;Lionel;ad@vitaeeratvel.com;false;Student;LFMK001
1030884376374;Lucas;Daquan;dapibus@amet.co.uk;false;Student;LFMK001
1065570153064;Blair;Blaine;gravida.nunc.sed@tellus.net;false;Student;LFMK001
1076062039261;Melissa;Lacota;Nunc@senectusetnetus.edu;false;Student;LFMK001
1074026342608;Amaya;Taylor;netus.et@Cumsociis.org;false;Student;LFMK001
1048953873083;Barclay;Arden;Aliquam@semperrutrumFusce.net;false;Student;LFMK001
