CNP;firstName;lastName;email;isAdmin;userType
1001617778838;Berk;Akeem;adipiscing@Duisa.ca;false;Professor
1085084442752;Carol;Robin;Nunc.quis@volutpat.org;false;Professor
1098652655434;Gregory;Zorita;nascetur@enimSed.edu;false;Professor
1093922877265;Giselle;Astra;eleifend.vitae.erat@In.ca;false;Professor
1008802208958;Burke;Blythe;egestas.Fusce@Duisrisus.com;false;Professor
1013084508316;Ferdinand;Kevyn;dapibus.gravida@duiaugueeu.org;false;Professor
1057376568577;Gail;Roary;eu@ridiculus.net;false;Professor
1011315275791;Jasper;Piper;tortor@Morbi.co.uk;false;Professor
1099595252728;Ferris;Kamal;erat@vestibulumMauris.edu;false;Professor
1093311622523;Plato;Charlotte;Nullam@eleifend.edu;false;Professor
1079115334662;Valentine;Raphael;arcu@nequeInornare.com;false;Professor
1021539428683;Patricia;Hashim;erat@auctorMauris.ca;false;Professor
1093816232318;Ursa;Kenneth;mattis.semper@risus.org;false;Professor
1079403257966;Libby;Melyssa;iaculis.nec.eleifend@eteuismodet.ca;false;Professor
1050078698698;Jasmine;Charlotte;fermentum.fermentum@cursusnon.com;false;Professor
1076778825490;Belle;Bevis;Sed@molestieorcitincidunt.org;false;Professor
1032365670273;Alfonso;Maggy;lorem.ut.aliquam@Lorem.edu;false;Professor
1028726259516;Harlan;Naida;elit@tortoratrisus.edu;false;Professor
1057331759754;Lareina;Paloma;lacus.Quisque@id.com;false;Professor
1072286316362;Elton;Evangeline;consequat.lectus.sit@ligulaNullamfeugiat.com;false;Professor
1057330979955;Anika;Garrison;et@dictum.org;false;Professor
1055207469215;Nathan;Graham;at.libero.Morbi@nislarcuiaculis.ca;false;Professor
1086288810842;Kasimir;Aphrodite;leo.Cras@Namporttitorscelerisque.com;false;Professor
1016099601479;Upton;Jocelyn;facilisis.Suspendisse@ligulaAeneangravida.ca;false;Professor
1055036836617;Flavia;Xenos;nascetur.ridiculus@gravidasagittis.ca;false;Professor
1071966179993;Georgia;Harriet;nisl.Nulla.eu@necurnasuscipit.ca;false;Professor
1039851595794;Leigh;Avram;sed@variusNam.org;false;Professor
1041081330024;Serena;Fatima;in.magna.Phasellus@nonummyut.com;false;Professor
1029837095171;Chanda;Kieran;malesuada.Integer.id@adipiscinglobortis.net;false;Professor
1051043831704;Burke;Angela;Quisque@metus.org;false;Professor
1095850949212;Breanna;Price;sodales@elitelit.org;false;Professor
1060683353628;Joseph;Eric;elementum.lorem@loremDonecelementum.com;false;Professor
1067310009473;Sarah;Sophia;sollicitudin.adipiscing.ligula@dolorsit.co.uk;false;Professor
1016443921808;Colorado;Regan;massa.Integer@ac.edu;false;Professor
1049125346272;Chase;Nelle;justo.Proin.non@enimcondimentum.edu;false;Professor
1006789276951;Linus;Faith;ante@sit.ca;false;Professor
1077093407325;Salvador;Chaim;a@quisdiamluctus.co.uk;false;Professor
1040596577512;Oprah;Joel;aliquet.sem@AliquamnislNulla.ca;false;Professor
1052499738673;Maisie;Vladimir;Cum.sociis@sem.com;false;Professor
1007956297214;Rebekah;Kelly;non.lacinia@magna.com;false;Professor
1028951152716;Nichole;Dexter;tempor@vulputaterisus.net;false;Professor
1026161887407;Angela;Cathleen;eget@Aliquamgravidamauris.com;false;Professor
1065607898954;Sylvester;Boris;posuere.vulputate.lacus@ipsumcursusvestibulum.edu;false;Professor
1033839636808;Tanner;Joy;ac@ornare.com;false;Professor
1061706349262;Iola;Vanna;ultrices@pharetraut.edu;false;Professor
1065332886547;Charles;Dahlia;dolor.Fusce.mi@sodales.com;false;Professor
1025166566633;Colette;Francesca;id@ultricesDuis.com;false;Professor
1039472380769;Baxter;Magee;Donec.vitae@viverra.edu;false;Professor
1025189422208;Forrest;Darryl;ligula@utipsumac.co.uk;false;Professor
1067669924913;Michael;Nash;senectus.et@estNunc.ca;false;Professor
